Feature,Validation-Accuracy
40MFCC+Chroma+TS,5.71
40MFCC+Chroma,11.43
40MFCC+TS,8.57
TS,17.14
40MFCC,11.43
13MFCC,11.43
13MFCC-Preemph,17.14
