Feature,Validation-Accuracy
MFCC+Chroma+TS,14.29
MFCC+Chroma,22.86
MFCC+Time+Spectral,22.86
Time+Spectral,20.0
MFCC-40Ceps,11.43
MFCC-NoPreemph,11.43
MFCC-Preemph,17.14
