Feature,#1,#2,#3,#4,#5,Minimum,Maximum,Average
MFCC+Chroma+TS,83.0,74.0,75.0,81.0,77.0,74.0,83.0,78.0
MFCC+Chroma,85.0,79.0,73.0,81.0,77.0,73.0,85.0,79.0
MFCC+TS,81.0,88.0,78.0,84.0,82.0,78.0,88.0,82.6
TS,20.0,24.0,22.0,28.0,21.0,20.0,28.0,23.0
40MFCC-NoPreemph,81.0,85.0,83.0,85.0,78.0,78.0,85.0,82.4
13MFCC-NoPreemph,72.0,73.0,75.0,77.0,64.0,64.0,77.0,72.2
13MFCC-Preemph,65.0,63.0,84.0,64.0,69.0,63.0,84.0,69.0
