Feature,#1,#2,#3,#4,#5,Maximum,Average
MFCC-NoPreemph,72.0,72.0,68.5,73.0,74.0,74.0,71.9
MFCC-Preemph,71.0,67.0,72.0,72.0,73.5,73.5,71.1
Frequency,40.0,37.5,38.5,37.0,38.5,40.0,38.3
MFCC+Frequency,67.0,67.0,70.5,64.5,70.0,70.0,67.8
MFCC+Frequency+Chroma,67.5,68.5,67.0,67.0,68.5,68.5,67.7
MFCC+PLP,67.5,67.0,70.0,68.0,67.5,70.0,68.0
