Feature,#1,#2,#3,#4,#5,Minimum,Maximum,Average
40MFCC+Chroma+TS,78.0,82.5,76.0,75.5,77.5,75.5,82.5,77.9
40MFCC+Chroma,79.0,78.5,75.5,77.0,78.0,75.5,79.0,77.6
40MFCC+TS,80.0,78.0,74.5,78.0,77.0,74.5,80.0,77.5
TS,22.0,36.5,39.5,43.5,30.0,22.0,43.5,34.3
40MFCC,79.5,81.5,80.0,77.0,79.0,77.0,83.0,79.4
13MFCC,78.0,78.0,77.0,74.0,78.0,74.0,78.0,77.0
13MFCC-Preemph,73.0,78.0,75.5,75.5,72.0,72.0,78.0,74.8
