Feature,#1,#2,#3,#4,#5,Minimum,Maximum,Average
MFCC+Chroma+TS,81.0,81.0,81.25,80.0,82.25,80.0,82.25,81.1
MFCC+Chroma,79.5,76.75,81.0,81.0,83.0,76.75,83.0,80.25
MFCC+Time+Spectral,78.25,80.0,80.75,78.25,82.25,78.25,82.25,79.9
Time+Spectral,29.0,44.0,38.0,36.0,34.25,29.0,44.0,36.25
MFCC-40Ceps,82.25,80.0,80.0,83.25,83.25,80.0,83.25,81.75
MFCC-NoPreemph,73.75,74.0,71.0,73.0,74.0,71.0,74.0,73.15
MFCC-Preemph,70.75,71.5,74.5,71.75,71.5,70.75,74.5,72.0
