Feature,#1,#2,#3,#4,#5,Minimum,Maximum,Average
MFCC+Chroma+TS,54.5,47.0,53.0,52.5,49.0,47.0,54.5,51.2
MFCC+Chroma,50.5,51.5,47.5,59.0,54.5,47.5,59.0,52.6
MFCC+Time+Spectral,51.5,49.5,53.5,51.0,48.0,48.0,53.5,50.7
Time+Spectral,30.0,33.0,32.0,38.0,29.0,29.0,38.0,32.4
MFCC-40Ceps,56.0,54.0,52.0,54.0,58.0,52.0,58.0,54.8
MFCC-NoPreemph,49.5,49.5,54.0,45.5,46.5,45.5,54.0,49.0
MFCC-Preemph,50.0,51.5,49.0,46.5,48.0,46.5,51.5,49.0
